votes_per_item;method;accuracy_conf;accuracy_conf_std;accuracy_prob_conf;accuracy_prob_conf_std;precision_conf;precision_std;recall_conf;recall_conf_std;accuracy;accuracy_std;accuracy_prob;accuracy_prob_std;votes_per_worker_mean;votes_per_worker_std
15;inv;;;;;;;;;0.7756842105;0.06455683093;;;3.614457831;2.463376688
15;D&S_f;;;;;;;;;0.7143976608;0.08563227924;0.6676396661;0.07324439942;3.614457831;2.463376688
15;sums;;;;;;;;;0.7564269006;0.06758904567;;;3.614457831;2.463376688
15;D&S;;;;;;;;;0.6990409357;0.06800593923;0.6318584475;0.04568922903;3.614457831;2.463376688
15;inv_f;;;;;;;;;0.8276374269;0.04781338334;;;3.614457831;2.463376688
15;avlog_f;;;;;;;;;0.8214795322;0.05329825363;;;3.614457831;2.463376688
15;mv;;;;;;;;;0.7756315789;0.04650746746;0.6444787524;0.01586405152;3.614457831;2.463376688
15;sums_f;;;;;;;;;0.8275847953;0.05308896805;;;3.614457831;2.463376688
15;pinv;;;;;;;;;0.7809005848;0.06416397187;;;3.614457831;2.463376688
15;pinv_f;;;;;;;;;0.8275847953;0.05201716123;;;3.614457831;2.463376688
15;mcmc_f;;;;;;;;;0.8194210526;0.05240030702;0.8206842105;0.0515582793;3.614457831;2.463376688
17;truth_finder;;;;;;;;;0.7612280702;0.04738823497;0.7612392135;0.047385386;3.736263736;2.827786634
17;avlog;;;;;;;;;0.761128655;0.04237944396;;;3.736263736;2.827786634
17;mcmc;;;;;;;;;0.780497076;0.05104218893;0.779748538;0.04701911665;3.736263736;2.827786634
17;mv_f;;;;;;;;;0.8038187135;0.04825059021;0.7339741575;0.03610900143;3.736263736;2.827786634
17;mcmc_conf;0.8562890354;0.03479947539;0.8081295693;0.03148577034;0.8834433841;0.05660526597;0.5430087868;0.1062054875;0.8075818713;0.05009982221;0.8068187135;0.05154619772;3.736263736;2.827786634
17;truth_finder_f;;;;;;;;;0.8078187135;0.05080915024;0.8078196243;0.0508085736;3.736263736;2.827786634
17;inv;;;;;;;;;0.7869239766;0.05771841068;;;3.736263736;2.827786634
17;D&S_f;;;;;;;;;0.7149473684;0.08133144118;0.6727137282;0.07171361902;3.736263736;2.827786634
